year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile,aapc2,projected20502,pct_decrease20502,tercile2
2023,3,68.51568621518788,u20m,54,-0.045210528045967105,20.214061127252876,70.49717773567008,128691.697,3,-0.040465495737173465,22.977014116970718,66.46459316658293,3
2019,1,13.300909999999988,hgap,55,-0.0055248164242243545,11.207275266563972,15.740537552964556,2484.792,3,-0.008365736737526408,10.26248091482453,22.843768472799677,3
2023,1,18.044038340808914,nnm,55,-0.03003282864104957,8.019924205006244,55.5536069391509,2484.792,3,-0.029921418247913324,8.044085104286475,55.41970731632873,3
2023,1,23.406279975407006,pnm,55,-0.04240991012766857,7.447934815039934,68.1797584970124,2484.792,3,-0.028898167388848605,10.72689181082024,54.170881395544306,3
2023,1,15.02907929361208,q5_19,55,-0.027484398116044507,7.1556925075534386,52.387685447937756,2484.792,3,-0.01539839146138915,9.916800851949356,34.01591236421005,3
2023,1,55.44044111447533,u20m,55,-0.033978155499224005,22.151364847303984,60.04475360943632,2484.792,3,-0.025234561571972236,28.04964985539147,49.405796037095755,3
2019,2,10.316019899999986,hgap,55,-8.83661958019033e-4,10.037263289312286,2.702172091464279,2484.792,3,-5.45889571827729e-4,10.142915082540572,1.6780194216125401,3
2023,2,14.008487001663777,nnm,55,-0.03146675802105618,5.989817197874204,57.24151225494376,2484.792,3,-0.030679584765772372,6.118485335359825,56.32301093877492,3
2023,2,19.936351919799698,pnm,55,-0.04429014221418019,6.029782588682792,69.7548347213196,2484.792,3,-0.03859421499886029,7.032209764700331,64.72669727646449,3
2023,2,10.516594830787817,q5_19,55,-0.039161928048033444,3.653122978546201,65.26325262763271,2484.792,3,-0.03569910548881543,4.0111525598419515,61.858827649239494,3
2023,2,43.828108562892766,u20m,55,-0.03852128287645962,15.490093985368565,64.65716980886711,2484.792,3,-0.03489710508359343,17.082482484153868,61.02391126543659,3
