year,sex,value,ageg,lid,decline
2009,1,13.06554794311523,hgap,95,
2013,1,4.423710823059082,pnm,95,
2013,3,4.488922228377379,q5_19,95,0
2013,1,3.827044725418091,nnm,95,.25517821
2013,3,4.429830074310303,pnm,95,.0035409927
2013,3,3.573447942733765,nnm,95,0
2013,1,5.545942337272236,q5_19,95,
2013,2,3.352847895717659,q5_19,95,-1.0570201
2013,2,4.427251815795898,pnm,95,0
2013,2,3.318269729614258,nnm,95,
2019,2,9.260690689086914,hgap,95,-2.8399391
2019,3,10.22560882568359,hgap,95,-1.1647873
2019,1,11.01846408843994,hgap,95,-3.8048573
2023,2,2.458322569769633,q5_19,95,-1.767116
2023,3,3.232357740402222,nnm,95,.014537334
2023,1,5.035038624551902,q5_19,95,-3.0876198
2023,2,3.125092029571533,nnm,95,-.085911989
2023,2,3.039608478546143,pnm,95,-1.3121114
2023,1,3.183798551559448,pnm,95,-1.3841023
2023,3,3.111599445343018,pnm,95,.0061192513
2023,3,3.778826348845965,q5_19,95,-2.1930945
2023,1,3.332807064056396,nnm,95,.508775
2009,3,18.38103103637695,hgap,96,0
2009,2,15.9222526550293,hgap,96,
2009,1,20.79649925231934,hgap,96,2.4587784
2013,1,15.53221949548989,q5_19,96,
2013,2,17.12245050812044,q5_19,96,0
2013,3,17.75458526611328,pnm,96,0
2013,3,16.31429066579349,q5_19,96,1.5902311
2013,2,22.03488349914551,nnm,96,0
2013,1,16.92752075195313,pnm,96,-.93382072
2013,3,25.27840042114258,nnm,96,
2013,1,28.35388374328613,nnm,96,-3.2435169
2013,2,18.68840599060059,pnm,96,
2019,3,16.87175559997559,hgap,96,-.74833012
2019,1,18.7009162902832,hgap,96,4.8742466
2019,2,15.17392253875732,hgap,96,2.7786636
2023,1,19.81051254272461,nnm,96,3.0754833
2023,1,11.93132064979108,q5_19,96,.78207117
2023,3,10.33305263519287,pnm,96,-8.7297831
2023,2,14.86205291748047,nnm,96,-7.8634853
2023,2,11.41160040808964,q5_19,96,-3.8348041
2023,3,11.69741554743275,q5_19,96,-3.6008987
2023,3,17.41491508483887,nnm,96,-5.4678879
2023,2,10.77773380279541,pnm,96,-8.3553534
2023,1,9.958622932434082,pnm,96,-1.7608852
2009,1,8.169677734375,hgap,198,
2009,2,2.64579701423645,hgap,198,-2.7789717
2009,3,5.390706062316895,hgap,198,0
2013,1,6.419726773643553,q5_19,198,0
2013,3,8.679198265075684,nnm,198,2.298912
2013,1,9.795681953430176,nnm,198,0
2013,2,7.496769905090332,nnm,198,
2013,1,5.11174201965332,pnm,198,
2013,3,5.165946483612061,pnm,198,0
2013,2,5.248231410980225,pnm,198,.054204464
2013,3,4.905111680629126,q5_19,198,
2013,2,3.374873518338428,q5_19,198,1.5146151
2019,2,1.88777482509613,hgap,198,-3.7942266
2019,1,6.754030227661133,hgap,198,-6.2819028
2019,3,4.37545108795166,hgap,198,-5.523881
2023,1,3.738560914993286,pnm,198,-1.4080584
2023,1,7.650640964508057,nnm,198,-.69573879
2023,3,3.703683614730835,pnm,198,-1.4463224
2023,2,2.404495482558389,q5_19,198,-1.5302382
2023,2,5.924083709716797,nnm,198,1.1824284
2023,3,3.587054868420592,q5_19,198,-2.5006163
2023,2,3.665419578552246,pnm,198,.13648939
