loc,heading2,heading1,has_wimort,has_imr,has_nmr,has_pnm,has_cms,has_ncdcm5,lid
Osaka,Japan,Subnational regions,0,1,0,0,0,0,332
Saga,Japan,Subnational regions,0,1,0,0,0,0,333
Saitama,Japan,Subnational regions,0,1,0,0,0,0,334
Shiga,Japan,Subnational regions,0,1,0,0,0,0,335
Shimane,Japan,Subnational regions,0,1,0,0,0,0,336
Shizuoka,Japan,Subnational regions,0,1,0,0,0,0,337
Tochigi,Japan,Subnational regions,0,1,0,0,0,0,338
Tokushima,Japan,Subnational regions,0,1,0,0,0,0,339
Tokyo,Japan,Subnational regions,0,1,0,0,0,0,340
Tottori,Japan,Subnational regions,0,1,0,0,0,0,341
Toyama,Japan,Subnational regions,0,1,0,0,0,0,342
Wakayama,Japan,Subnational regions,0,1,0,0,0,0,343
Yamagata,Japan,Subnational regions,0,1,0,0,0,0,344
Yamaguchi,Japan,Subnational regions,0,1,0,0,0,0,345
Yamanashi,Japan,Subnational regions,0,1,0,0,0,0,346
Total United States,USA,Subnational regions,0,1,0,0,0,0,347
Alabama,USA,Subnational regions,0,1,0,0,0,0,348
Alaska,USA,Subnational regions,0,1,0,0,0,0,349
Arizona,USA,Subnational regions,0,1,0,0,0,0,350
Arkansas,USA,Subnational regions,0,1,0,0,0,0,351
California,USA,Subnational regions,0,1,0,0,0,0,352
Colorado,USA,Subnational regions,0,1,0,0,0,0,353
Connecticut,USA,Subnational regions,0,1,0,0,0,0,354
Delaware,USA,Subnational regions,0,1,0,0,0,0,355
District of Columbia,USA,Subnational regions,0,1,0,0,0,0,356
Florida,USA,Subnational regions,0,1,0,0,0,0,357
Georgia,USA,Subnational regions,0,1,0,0,0,0,358
Hawaii,USA,Subnational regions,0,1,0,0,0,0,359
Idaho,USA,Subnational regions,0,1,0,0,0,0,360
Illinois,USA,Subnational regions,0,1,0,0,0,0,361
Indiana,USA,Subnational regions,0,1,0,0,0,0,362
Iowa,USA,Subnational regions,0,1,0,0,0,0,363
Kansas,USA,Subnational regions,0,1,0,0,0,0,364
Kentucky,USA,Subnational regions,0,1,0,0,0,0,365
Louisiana,USA,Subnational regions,0,1,0,0,0,0,366
Maine,USA,Subnational regions,0,1,0,0,0,0,367
Maryland,USA,Subnational regions,0,1,0,0,0,0,368
Massachusetts,USA,Subnational regions,0,1,0,0,0,0,369
Michigan,USA,Subnational regions,0,1,0,0,0,0,370
Minnesota,USA,Subnational regions,0,1,0,0,0,0,371
Mississippi,USA,Subnational regions,0,1,0,0,0,0,372
Missouri,USA,Subnational regions,0,1,0,0,0,0,373
Montana,USA,Subnational regions,0,1,0,0,0,0,374
Nebraska,USA,Subnational regions,0,1,0,0,0,0,375
Nevada,USA,Subnational regions,0,1,0,0,0,0,376
New Hampshire,USA,Subnational regions,0,1,0,0,0,0,377
New Jersey,USA,Subnational regions,0,1,0,0,0,0,378
New Mexico,USA,Subnational regions,0,1,0,0,0,0,379
New York,USA,Subnational regions,0,1,0,0,0,0,380
North Carolina,USA,Subnational regions,0,1,0,0,0,0,381
North Dakota,USA,Subnational regions,0,1,0,0,0,0,382
Ohio,USA,Subnational regions,0,1,0,0,0,0,383
Oklahoma,USA,Subnational regions,0,1,0,0,0,0,384
Oregon,USA,Subnational regions,0,1,0,0,0,0,385
Pennsylvania,USA,Subnational regions,0,1,0,0,0,0,386
Rhode Island,USA,Subnational regions,0,1,0,0,0,0,387
South Carolina,USA,Subnational regions,0,1,0,0,0,0,388
South Dakota,USA,Subnational regions,0,1,0,0,0,0,389
Tennessee,USA,Subnational regions,0,1,0,0,0,0,390
Texas,USA,Subnational regions,0,1,0,0,0,0,391
Utah,USA,Subnational regions,0,1,0,0,0,0,392
Vermont,USA,Subnational regions,0,1,0,0,0,0,393
Virginia,USA,Subnational regions,0,1,0,0,0,0,394
Washington,USA,Subnational regions,0,1,0,0,0,0,395
West Virginia,USA,Subnational regions,0,1,0,0,0,0,396
Wisconsin,USA,Subnational regions,0,1,0,0,0,0,397
Wyoming,USA,Subnational regions,0,1,0,0,0,0,398
"All countries, highest each year",Global,Lowest or highest mortality,0,1,1,1,0,1,399
"All countries, lowest each year",Global,Lowest or highest mortality,0,1,1,1,0,1,400
"All subnational regions, highest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,401
"All subnational regions, lowest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,402
"Canada, highest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,403
"Canada, lowest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,404
"France, highest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,405
"France, lowest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,406
"Japan, highest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,407
"Japan, lowest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,408
"USA, highest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,409
"USA, lowest each year",Subnational regions,Lowest or highest mortality,0,1,0,0,0,0,410
"Australia/New Zealand, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,411
"Australia/New Zealand, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,412
"Caribbean, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,413
"Caribbean, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,414
"Central America, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,415
"Central America, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,416
"Central Asia, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,417
"Central Asia, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,418
"Eastern Africa, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,419
"Eastern Africa, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,420
