surveyyear,wi,NMR,CH,PNM,lid
2008,Poorer,22.253578,33.012451,37.368713,63
2008,Middle,25.803946,24.295889,33.568619,63
2004,Poorer,35.633957,56.66246,55.00473,63
1997,Middle,43.871292,71.788589,59.225052,63
2021,Middle,24.149075,22.514027,20.992847,63
2008,Richer,24.996044,21.22649,17.663246,63
2015,Richer,23.846127,25.382086,18.817257,64
1992,Poorer,54.807354,114.40173,78.864227,64
2015,Richest,25.333858,16.615675,18.154438,64
2010,Richer,33.30957,52.131767,40.176697,64
2004,Middle,39.696236,73.877174,54.791794,64
2004,Poorer,41.469421,71.077484,58.078148,64
1992,Richer,46.835621,116.94464,92.24588,64
2000,Richest,33.050892,62.596588,53.210438,64
2015,Poorer,28.686953,30.802603,21.355032,64
1992,Middle,56.352123,103.73655,97.56839,64
1992,Richest,42.313076,66.24173,63.720127,64
2010,Poorer,37.011837,61.497391,41.733845,64
2024,Richer,25.826227,12.888885,8.9266071,64
2004,Richest,28.692617,45.489944,36.984444,64
2010,Middle,32.113697,55.455391,41.212948,64
2024,Poorer,21.598301,16.346495,10.819046,64
2010,Poorest,30.816193,63.446968,38.233109,64
2000,Poorer,49.754036,96.01519,61.000595,64
2015,Poorest,27.481831,36.490543,19.163857,64
2010,Richest,33.213421,33.885441,37.955128,64
2024,Richest,24.945595,10.298577,6.6804848,64
2000,Richer,45.634666,85.650505,63.646545,64
1992,Poorest,44.693459,111.73461,96.342903,64
2004,Poorest,36.172623,74.263725,72.51326,64
2024,Poorest,22.414221,18.390135,12.649157,64
2000,Middle,41.65839,100.79015,75.415512,64
2000,Poorest,54.548084,99.203293,76.855072,64
2015,Middle,26.447348,29.784937,21.234892,64
2004,Richer,35.799736,56.706692,53.57515,64
2024,Middle,24.341654,14.56317,15.228422,64
1996,Richest,46.637089,75.848007,46.508846,65
2006,Richer,60.358608,113.41201,53.315563,65
2001,Poorest,71.965065,110.38698,65.222084,65
1996,Poorest,74.286919,146.20789,77.103966,65
2012,Poorest,39.073601,47.291893,25.601974,65
1996,Richer,68.182915,111.97233,60.760307,65
2012,Poorer,34.98283,50.471237,32.10619,65
2018,Poorer,37.929611,66.556763,32.632561,65
2012,Richer,28.656052,38.742214,23.623501,65
2012,Middle,47.089283,48.071609,34.661678,65
2006,Richest,40.03297,43.182072,40.307041,65
2001,Richer,67.79467,115.41154,61.079094,65
2012,Richest,30.424902,14.31388,16.182562,65
2006,Poorest,62.844765,109.22791,61.087166,65
2001,Richest,53.751308,58.157726,36.049519,65
1996,Poorer,71.466545,136.46584,75.443901,65
2023,Middle,29.418962,38.692154,26.193701,65
1996,Middle,77.434647,112.72369,61.457703,65
2018,Middle,38.901356,59.313461,26.084255,65
2018,Poorest,41.752281,65.123131,35.718246,65
2001,Poorer,66.959442,138.69147,58.246071,65
2006,Poorer,60.243721,119.81449,60.252403,65
2006,Middle,56.541206,111.63861,57.72213,65
2018,Richest,23.863966,20.466511,12.946821,65
2018,Richer,25.7971,39.935268,18.024483,65
2023,Richer,34.182117,20.65847,19.88549,65
2023,Poorest,43.989601,66.299362,23.706642,65
2023,Poorer,31.504572,56.07436,28.084009,65
2001,Middle,76.623085,121.34458,63.885277,65
2023,Richest,24.735929,13.364719,13.913786,65
2020,Poorest,27.367308,10.935877,12.352999,66
2020,Richer,18.226675,4.9883938,8.4698963,66
2020,Poorer,25.16256,13.779803,13.306286,66
2020,Middle,24.180092,8.5026007,13.414165,66
2020,Richest,12.121714,4.7464724,7.0114174,66
2003,Poorest,38.416023,15.453938,23.735695,69
1992,Richest,18.205046,4.1770148,16.848692,69
2003,Poorer,30.92061,12.346399,22.189035,69
1992,Richer,37.058151,12.807993,21.48185,69
1992,Poorer,36.371239,29.244354,31.304642,69
2003,Richest,19.23773,2.0413136,4.801609,69
1992,Middle,35.430389,17.038651,26.920212,69
2003,Middle,25.149094,9.8641348,11.677265,69
2003,Richer,22.522276,3.9438381,10.844076,69
1992,Poorest,37.948132,31.862486,41.706669,69
2003,Poorer,55.041748,52.601765,92.014938,70
1997,Poorer,48.493214,77.413239,87.68866,70
2011,Poorest,33.130524,46.440331,49.788933,70
1997,Richest,45.904442,49.918346,48.797684,70
2011,Middle,31.020008,44.587105,38.013187,70
2003,Richer,38.145653,48.510036,67.9105,70
2022,Poorer,19.459082,17.373528,18.059816,70
1997,Poorest,65.496811,89.785553,122.12119,70
2022,Poorest,17.912251,29.47307,16.471897,70
1997,Middle,59.435215,71.522346,84.803558,70
2003,Poorest,58.565208,53.676476,83.911705,70
2011,Richer,30.836639,33.927746,29.80632,70
2011,Richest,32.650085,26.440168,31.583672,70
2011,Poorer,32.310982,30.978342,42.123512,70
2022,Richer,28.537519,19.719213,14.228086,70
2022,Richest,19.651545,15.788236,14.875322,70
2003,Middle,47.572422,75.056946,80.63559,70
1997,Richer,53.105774,52.757473,81.049713,70
2003,Richest,29.259621,36.905548,41.871712,70
2022,Middle,24.061432,20.964455,22.291607,70
2006,Richest,15.56464,5.9780631,7.934412,71
1992,Richer,37.094967,26.246138,35.099682,71
2000,Richer,15.052715,25.824705,19.599609,71
2000,Poorest,22.803663,19.478947,20.270712,71
1992,Poorest,34.232262,46.630875,29.4147,71
1992,Poorer,41.745846,28.569124,21.179611,71
2006,Poorest,28.937212,31.932869,31.224249,71
2000,Middle,25.018717,17.270771,19.97576,71
2006,Middle,23.638603,23.553564,21.326469,71
2000,Richest,12.14277,6.6513295,10.418721,71
1992,Middle,34.489147,32.972168,13.904709,71
1992,Richest,28.182568,18.111198,29.1534,71
2006,Richer,28.893276,16.884718,26.112782,71
2013,Richer,18.761326,18.308235,18.696674,71
2000,Poorer,37.612732,32.839672,15.818638,71
2013,Richest,11.436208,8.2377253,10.986255,71
2013,Middle,18.796055,24.369104,22.507835,71
2013,Poorer,19.080679,22.588938,26.033064,71
2006,Poorer,28.487358,19.419914,25.052879,71
2013,Poorest,23.061674,16.105881,27.599775,71
1998,Richest,30.210747,97.771271,55.587532,72
2012,Poorer,31.904423,97.528778,38.212231,72
1998,Poorer,59.365673,202.27022,92.919296,72
2012,Richer,31.505474,95.115494,37.478374,72
2006,Poorer,49.14447,128.81042,54.251793,72
2012,Richest,27.529709,61.256195,24.894222,72
2006,Middle,50.321732,134.38832,55.094772,72
1998,Poorest,52.188995,150.57689,78.811264,72
2006,Richest,29.384399,90.068192,37.144798,72
1998,Middle,54.041924,190.71062,103.0789,72
2006,Richer,39.877792,144.5062,60.467957,72
2012,Poorest,34.823662,80.092133,28.923584,72
2012,Middle,31.07089,100.80424,35.626144,72
1998,Richer,51.088894,172.68211,90.819534,72
2006,Poorest,42.982403,115.37081,47.532948,72
2024,Poorest,41.294533,68.031013,30.278893,73
2003,Richest,22.538385,27.214071,29.51441,73
2003,Middle,55.8922,104.97553,54.003109,73
2010,Poorest,54.736443,97.378822,40.856041,73
2008,Poorer,51.385345,108.02943,51.937248,73
2008,Poorest,50.352127,118.55577,49.41745,73
2013,Richer,36.609306,35.839207,27.956657,73
2018,Richer,31.92362,32.829456,21.374155,73
2018,Richest,27.691547,13.755241,11.924091,73
2010,Richest,27.436983,26.800606,23.430849,73
2013,Richest,30.103405,24.63035,17.930126,73
2008,Richest,38.584309,29.243847,19.593861,73
2024,Richest,28.862257,10.328305,9.8739452,73
2013,Middle,39.371464,56.618202,31.320042,73
2010,Middle,63.454849,64.534515,50.08889,73
2003,Richer,47.548206,91.85614,39.228382,73
2003,Poorest,59.295799,123.81859,73.643227,73
2010,Richer,33.122551,47.646969,29.011589,73
2024,Poorer,42.418804,64.570663,28.634563,73
2024,Richer,36.257092,19.75333,13.752434,73
2008,Richer,39.498993,55.965614,33.862595,73
2018,Poorest,38.845383,94.56414,39.217812,73
2024,Middle,36.88958,38.81139,17.423706,73
2003,Poorer,69.624947,153.16301,69.978539,73
2018,Poorer,40.972122,91.572441,35.93148,73
2013,Poorest,44.962864,97.634537,47.064053,73
2008,Middle,45.328903,79.248474,40.440765,73
2010,Poorer,49.157936,88.094727,51.047997,73
2013,Poorer,45.436684,93.344749,48.533028,73
2018,Middle,41.481087,59.772026,27.191734,73
2019,Richest,13.306109,8.8392658,7.8396864,74
2008,Poorer,32.305244,66.867233,49.278191,74
1992,Poorest,42.656452,65.350037,36.320217,74
2010,Richer,31.273388,38.041794,34.57024,74
1992,Poorer,54.771652,91.848709,55.706886,74
2010,Poorest,32.880726,49.099819,36.64642,74
