year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile
2023,1,10.97349543124437,u20m,5,-.0075130723,8.9587431,18.360168,,3
2023,2,45.90543732047081,u20m,34,-.024923226,23.421549,48.978706,,3
2023,3,23.71847629547119,nnm,16,-.027826376,11.189123,52.825287,,3
2023,3,1.01689339926736,q5_19,7,-.091945581,.084942698,91.646843,,3
2023,1,7.324738492808791,q5_19,10,-.018228672,4.4775825,38.870411,,3
2023,1,3.707309020683169,nnm,18,-.014158187,2.5295343,31.768991,,3
2023,3,20.14709450304508,u20m,33,-.025492206,10.1226,49.756531,,3
2023,1,20.39558626711369,nnm,24,-.040580705,6.8184996,66.568748,,3
2023,2,40.00090435147285,u20m,24,-.049344331,10.555058,73.612953,,3
2019,2,157.4912567138672,hgap,14,.00047545612,159.82973,-1.4848256,,3
2023,1,4.932351876050234,pnm,12,-.044178985,1.496282,69.663925,,3
2023,2,20.83324268460274,nnm,1,-.022026189,11.494204,44.827583,,3
2019,2,165.0325317382813,hgap,19,.00018694237,165.99171,-.58120829,,3
2023,3,70.38655877113342,u20m,11,-.034352634,27.840204,60.446705,,3
2023,1,2.138961974965436,q5_19,28,-.017010126,1.3512732,36.825748,,3
2023,3,41.47724434733391,u20m,15,-.0098570604,31.785313,23.366865,,3
2023,1,96.30347043275833,u20m,30,-.027679797,45.611042,52.638214,,3
2019,1,179.8166961669922,hgap,28,.00015914947,180.70604,-.49458325,,3
2019,3,169.6263275146484,hgap,12,.0018576242,179.68123,-5.9276772,,3
2023,3,1.561872478558768,q5_19,25,-.02627049,.76842076,50.801311,,3
2023,1,5.486784502863884,u20m,7,-.035742875,2.0902524,61.903873,,3
2023,3,10.25346759706736,nnm,27,-.022653699,5.5620461,45.754486,,3
2023,3,13.56687518927624,q5_19,34,-.020881038,7.720222,43.095062,,3
2023,2,23.85459467768669,pnm,23,-.025990104,11.825333,50.427444,,3
2023,2,18.29111389815807,nnm,31,-.029311448,8.2896376,54.679428,,3
2019,2,155.4532318115234,hgap,22,.001083403,160.76286,-3.4155812,,3
2023,1,27.03768387436867,nnm,16,-.027146906,12.991108,51.951847,,3
2023,2,31.98156652132067,q5_19,16,-.035060525,12.410284,61.195511,,3
2023,1,20.33181302249432,pnm,15,-.005077505,17.727093,12.811058,,3
2023,1,10.97349543124437,u20m,18,-.0075130723,8.9587431,18.360168,,3
2023,2,20.32210491597652,u20m,10,-.033447091,8.2370129,59.467716,,3
2019,3,163.3415374755859,hgap,30,.00033827202,165.06342,-1.0541581,,3
2023,3,44.45746913552284,u20m,8,-.014876973,29.750761,33.080399,,3
2023,1,13.26847355812788,pnm,22,-.024136337,6.9151158,47.88311,,3
2023,3,87.94497698545456,u20m,30,-.030192118,38.92062,55.74435,,3
2023,2,19.57138627767563,nnm,30,-.026092956,9.6751318,50.564915,,3
2023,3,6.407249501676038,q5_19,33,-.028357947,2.9795299,53.49752,,3
2019,3,166.4415588378906,hgap,27,.00083174714,170.78893,-2.6119475,,3
2023,2,27.65887789428234,u20m,22,-.024798376,14.159569,48.806423,,3
2023,2,6.761199794709682,pnm,9,-.032277033,2.8284261,58.166801,,3
2023,2,54.64260812443422,q5_19,26,-.015627677,35.832909,34.423138,,3
2023,3,51.95817723870277,u20m,23,-.017893057,32.050941,38.313961,,3
2023,2,1.393941114656627,pnm,19,-.021975439,.77012551,44.751934,,3
2019,2,163.1689910888672,hgap,29,.000278755,164.58511,-.86788696,,3
2023,2,37.04623132944107,u20m,15,-.011640778,27.054832,26.970081,,3
2023,1,7.837125100195408,pnm,9,-.030576969,3.4325173,56.201832,,3
2023,3,18.9634133130312,nnm,24,-.040367864,6.3762441,66.376076,,3
2023,2,1.915907370857894,nnm,13,-.06276501,.35188037,81.633751,,3
2023,1,32.95491658513016,q5_19,1,-.018580081,19.954971,39.447666,,3
2023,3,7.399400230497122,u20m,29,-.014664332,4.9801598,32.695087,,3
2019,3,172.2929992675781,hgap,19,.00034811767,174.1624,-1.0850122,,3
2023,1,26.18861198425293,nnm,30,-.025511978,13.151045,49.783344,,3
2023,2,2.302070615793017,q5_19,5,-.0040878332,2.0615075,10.44986,,3
2023,2,6.974168121814728,nnm,21,-.018981529,4.177495,40.100456,,3
2023,3,11.49057858103719,q5_19,17,-.016584158,7.3430567,36.094978,,3
2023,3,9.413192048668861,u20m,18,-.0083611421,7.5109448,20.208311,,3
2019,2,159.2669067382813,hgap,4,.00073466252,162.93576,-2.3035882,,3
