year,age,sex,value,loc,heading1,heading2,lid
1985,14,2,152.4775420690616,Low-income countries,Aggregates,incomegr,
2000,13,3,148.8755479335424,Low-income countries,Aggregates,incomegr,
2019,17,2,156.3792809074827,Low-income countries,Aggregates,incomegr,
1985,15,1,160.0690269733148,Low-income countries,Aggregates,incomegr,
2019,7,3,116.9581161573671,Low-income countries,Aggregates,incomegr,
1990,14,2,152.4932624088474,Low-income countries,Aggregates,incomegr,
1990,15,3,157.1663896105168,Low-income countries,Aggregates,incomegr,
1990,11,3,137.7940627547817,Low-income countries,Aggregates,incomegr,
1990,8,3,121.1304733256371,Low-income countries,Aggregates,incomegr,
1985,15,2,154.1897743307439,Low-income countries,Aggregates,incomegr,
2019,6,3,111.4875507968394,Low-income countries,Aggregates,incomegr,
1985,19,3,162.9308170407517,Low-income countries,Aggregates,incomegr,
1990,7,3,115.7841316491712,Low-income countries,Aggregates,incomegr,
1985,14,3,153.9183741864536,Low-income countries,Aggregates,incomegr,
1990,17,2,156.0344202515428,Low-income countries,Aggregates,incomegr,
2019,12,3,144.4140623270539,Low-income countries,Aggregates,incomegr,
2019,18,1,167.5044619844329,Low-income countries,Aggregates,incomegr,
1990,9,2,127.585056830752,Low-income countries,Aggregates,incomegr,
2019,11,1,136.8552078455843,Low-income countries,Aggregates,incomegr,
1985,11,2,139.9441017186203,Low-income countries,Aggregates,incomegr,
1985,11,3,137.9402943119726,Low-income countries,Aggregates,incomegr,
1990,18,2,156.6311283490733,Low-income countries,Aggregates,incomegr,
1990,16,1,163.2650167420502,Low-income countries,Aggregates,incomegr,
1985,10,1,130.7068224843737,Low-income countries,Aggregates,incomegr,
2000,15,2,154.0510669820413,Low-income countries,Aggregates,incomegr,
2010,14,2,152.4450334831149,Low-income countries,Aggregates,incomegr,
1985,5,3,104.4961782798265,Low-income countries,Aggregates,incomegr,
2010,7,2,117.144029803858,Low-income countries,Aggregates,incomegr,
1985,19,1,168.5824155944046,Low-income countries,Aggregates,incomegr,
1990,5,2,105.3666251130409,Low-income countries,Aggregates,incomegr,
1990,13,1,148.6817114115376,Low-income countries,Aggregates,incomegr,
2010,15,2,154.1799818754411,Low-income countries,Aggregates,incomegr,
1985,19,2,157.2790953762415,Low-income countries,Aggregates,incomegr,
2019,13,2,150.2422951203804,Low-income countries,Aggregates,incomegr,
1990,13,2,149.7652441398585,Low-income countries,Aggregates,incomegr,
2000,8,3,120.9799792584783,Low-income countries,Aggregates,incomegr,
1990,18,3,161.8716022276575,Low-income countries,Aggregates,incomegr,
1990,19,2,157.3818762033269,Low-income countries,Aggregates,incomegr,
2010,16,1,162.8229610859089,Low-income countries,Aggregates,incomegr,
1990,15,1,160.0554911850628,Low-income countries,Aggregates,incomegr,
2000,7,1,114.7278046609198,Low-income countries,Aggregates,incomegr,
2000,15,1,159.5852054442807,Low-income countries,Aggregates,incomegr,
1990,14,3,153.8810969732179,Low-income countries,Aggregates,incomegr,
2010,12,1,141.6768325956121,Low-income countries,Aggregates,incomegr,
