year,sex,value,note_,lid
1949,1,62.91006851196289,,293
1949,2,52.88078308105469,,293
1949,3,58.02606582641602,,293
1950,1,54.85029602050781,,293
1950,2,43.20700454711914,,293
1950,3,49.17596054077148,,293
1951,1,55.07912826538086,,293
1951,2,42.07273483276367,,293
1951,3,48.73463439941406,,293
1952,1,52.46366500854492,,293
1952,2,41.78353881835938,,293
1952,3,47.25008773803711,,293
1953,1,47.21813201904297,,293
1953,2,35.82886505126953,,293
1953,3,41.64075088500977,,293
1954,1,45.70232009887695,,293
1954,2,36.77001190185547,,293
1954,3,41.3128776550293,,293
1955,1,44.85251998901367,,293
1955,2,33.69036483764648,,293
1955,3,39.38164520263672,,293
1956,1,41.54653549194336,,293
1956,2,34.14768600463867,,293
1956,3,37.92201232910156,,293
1957,1,42.28453063964844,,293
1957,2,32.80532455444336,,293
1957,3,37.64131927490234,,293
1958,1,38.18473815917969,,293
1958,2,29.66160011291504,,293
1958,3,34.0135383605957,,293
1959,1,35.83543014526367,,293
1959,2,28.0158805847168,,293
1959,3,32.01625061035156,,293
1960,1,34.71474075317383,,293
1960,2,27.3954029083252,,293
1960,3,31.13041877746582,,293
1961,1,34.00140380859375,,293
1961,2,24.41921997070313,,293
1961,3,29.30719184875488,,293
1962,1,31.55224609375,,293
1962,2,24.48406028747559,,293
1962,3,28.08469581604004,,293
1963,1,33.20140075683594,,293
1963,2,25.35492515563965,,293
1963,3,29.39495468139648,,293
1964,1,28.66889190673828,,293
1964,2,23.70014953613281,,293
1964,3,26.26015663146973,,293
1965,1,26.79517555236816,,293
1965,2,20.89344024658203,,293
1965,3,23.92486190795898,,293
1966,1,26.87405204772949,,293
1966,2,20.64238929748535,,293
1966,3,23.83406829833984,,293
1967,1,25.2982177734375,,293
1967,2,21.24838829040527,,293
1967,3,23.32357025146484,,293
1968,1,25.6958179473877,,293
1968,2,20.48812866210938,,293
1968,3,23.1371898651123,,293
1969,1,26.24778366088867,,293
1969,2,20.30829620361328,,293
1969,3,23.35346794128418,,293
1970,1,25.18711471557617,,293
1970,2,18.13564491271973,,293
1970,3,21.74741363525391,,293
1971,1,23.49606704711914,,293
1971,2,18.6530590057373,,293
1971,3,21.13992500305176,,293
1972,1,24.56838989257813,,293
1972,2,17.26433181762695,,293
1972,3,21.00874710083008,,293
1973,1,21.87837409973145,,293
1973,2,17.30010414123535,,293
1973,3,19.65485191345215,,293
1974,1,18.67925834655762,,293
1974,2,15.26482486724854,,293
1974,3,17.01229667663574,,293
